,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
16,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 2 2 1 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
17,1,2.9999695,3,True,0.5,acc,right,True,2,1,4,ret,1,4,1,"['4', '1', '1', '1', '1', '2']","[5.394970599998487, 5.91497059998801, 6.146978999982821, 7.9308928999817, 8.131005499977618, 8.394940099999076]",1,6,# # # # # #,None,5.394970599998487,5.91497059998801,6.146978999982821,7.9308928999817,8.131005499977618,8.394940099999076,NaN,0.5199999999895226,0.23200839999481104,1.783913899998879,0.20011259999591857,0.2639346000214573
18,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,3 3 2 2 3 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
19,3,4.5200019,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['3', '3', '2', '2', '3', '3']","[16.338873999979114, 16.746980999974767, 17.155014999996638, 19.818845599977067, 20.594852699985495, 20.858875899983104]",1,6,# # # # # #,None,16.338873999979114,16.746980999974767,17.155014999996638,19.818845599977067,20.594852699985495,20.858875899983104,1.4439338999800384,0.4081069999956526,0.4080340000218712,2.663830599980429,0.7760071000084281,0.2640231999976095
20,4,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 4 4 2 2 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
21,5,5.3679437,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['1', '2', '2', '4', '4', '1']","[33.922949300002074, 34.38691549998475, 36.98704779997934, 37.79496389999986, 39.11494379999931, 39.290892999997595]",1,6,# # # # # #,None,33.922949300002074,34.38691549998475,36.98704779997934,37.79496389999986,39.11494379999931,39.290892999997595,6.5640734000189696,0.4639661999826785,2.600132299994584,0.8079161000205204,1.3199798999994528,0.17594919999828562
22,6,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 2 4 1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
23,7,7.7840949,3,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['1', '4', '2', '3', '3', '2']","[47.322830899996916, 49.21091389999492, 50.010945999994874, 52.49088319999282, 52.91493529998115, 55.106925799977034]",1,6,# # # # # #,None,47.322830899996916,49.21091389999492,50.010945999994874,52.49088319999282,52.91493529998115,55.106925799977034,1.5319378999993205,1.888082999998005,0.8000320999999531,2.4799371999979485,0.42405209998833016,2.1919904999958817
24,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 3 2 1 3 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
25,9,8.8487553,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '3', '1', '2', '3', '4']","[65.61099089999334, 66.70692529997905, 71.09084979997715, 71.53890639997553, 74.25091489998158, 74.45974619998015]",1,6,# # # # # #,None,65.61099089999334,66.70692529997905,71.09084979997715,71.53890639997553,74.25091489998158,74.45974619998015,4.004065100016305,1.0959343999857083,4.383924499998102,0.448056599998381,2.71200850000605,0.20883129999856465
